"Theta [deg]","dB(RealizedGainTotal) [] - Freq='77GHz' Phi='0deg'","dB(RealizedGainTotal)_1 [] - Freq='77GHz' Phi='90.0000000000002deg'"
91,-15.1345145025504,0.579737003927486
92,-15.4492895625867,0.462045335283793
93,-15.8653195173228,0.389049614619697
94,-16.3797791244988,0.359678647573359
95,-16.9909791734773,0.366894578335508
96,-17.6986510743209,0.397691396950599
97,-18.5041599972372,0.434253825097311
98,-19.4105982728042,0.45592319995941
99,-20.4224267939262,0.441449868085964
100,-21.5434178917669,0.371152083904461
101,-22.7691338384675,0.228907655171619
102,-24.0645122076493,0.0041983374715538
103,-25.3107140985954,-0.305395275234962
104,-26.2320021458037,-0.690859489394843
105,-26.4585008816388,-1.12756612313077
106,-25.8954064217309,-1.57142614178483
107,-24.8919733441299,-1.95898136065536
108,-23.8724489280973,-2.21750539121887
109,-23.0812344335636,-2.28851069930694
110,-22.602714284811,-2.1554568224637
111,-22.4244573067647,-1.8551984628642
112,-22.4732081745658,-1.46388875763329
113,-22.6437286480295,-1.07123447221696
114,-22.8361287799914,-0.76095018840451
115,-22.9881664751419,-0.601878151555094
116,-23.0908138124801,-0.644512800838634
117,-23.2060364900635,-0.915941964427158
118,-23.477657141854,-1.4063431694108
119,-24.0893000498438,-2.04097961685829
120,-25.1756263019,-2.64650281796955
121,-26.6999591361409,-2.97520941409316
122,-28.2117435780753,-2.87280374165598
123,-28.721336200116,-2.4434355776833
124,-27.9127599909437,-1.94928720940461
125,-26.7607635104372,-1.60989365886784
126,-25.9732836675459,-1.53589144655262
127,-25.5949085019635,-1.75136253767062
128,-25.365781256556,-2.2214518271324
129,-25.1145861911237,-2.86312350277893
130,-24.9402739490559,-3.53834317439157
131,-25.0021711032448,-4.04612840586408
132,-25.3391190023342,-4.18693973517536
133,-25.8815631249589,-3.94130698995456
134,-26.5011261888575,-3.54089804449633
135,-27.1322676895334,-3.28649382143508
136,-27.7115110701857,-3.37316158311027
137,-28.1267057210899,-3.86084832243555
138,-28.7307438935601,-4.71006863053233
139,-29.7319827356485,-5.82081138791153
140,-30.548385573116,-7.02444344889376
141,-31.495475009584,-7.97538193417684
142,-33.5332262491774,-8.1969063208958
143,-35.0656954797515,-7.68752217116683
144,-32.3981374148988,-7.03706197022597
145,-30.4283183684567,-6.71896980450229
146,-30.3981347991435,-6.89026147191415
147,-29.9496070841312,-7.60322676959983
148,-29.0395478994815,-8.95987903968887
149,-29.5767036652202,-10.9524620164584
150,-30.6618686177731,-12.6617169629044
151,-28.8027709260902,-12.4232824040127
152,-26.3224927575395,-11.2623927989583
153,-24.8150680674609,-10.7433289686627
154,-24.106449265319,-11.0863444646684
155,-24.1693932995428,-12.042922692232
156,-24.869074166136,-13.5266341708362
157,-25.801249129106,-15.9147600395241
158,-26.9093217200227,-19.70697605963
159,-28.2033433634187,-23.1352527704883
160,-29.4087024507291,-21.6198823934054
161,-29.7570587410988,-19.5830655644768
162,-28.4755332461073,-18.8823267855226
163,-26.9084708741393,-19.4626414699162
164,-26.3318830390071,-21.455741443442
165,-26.6822044249071,-24.3810050830636
166,-27.8626828723348,-23.9382958067148
167,-29.2620311956514,-20.5865931174766
168,-29.8037965127088,-18.1262995507234
169,-30.0962851531662,-16.8829756765479
170,-30.4997929753006,-16.7314537552317
171,-29.7950471130906,-17.5796321473763
172,-27.5056464141495,-19.3321175635717
173,-24.9866553237538,-21.2948189656381
174,-22.9654780871317,-20.8489416267508
175,-21.241215919797,-18.4722173875145
176,-19.7868831438568,-16.965152956538
177,-18.6035210799811,-16.5642122867903
178,-17.5783959775188,-16.3457998250945
179,-16.7426712851964,-15.9795424731399
180,-16.2116518041171,-16.211651804117
